spi_rank,continent,country,spi_score,basic_human_needs,wellbeing,opportunity,basic_nutri_med_care,water_sanitation,shelter,personal_safety,access_basic_knowledge,access_info_comm,health_wellness,env_quality,personal_rights,personal_freedom_choice,inclusiveness,access_adv_edu
1,Europe,Norway,90.74,91.26,90.86,90.11,93.89,98.8,91.59,80.76,98.69,96.12,88.73,79.91,95.63,88.95,92.04,83.81
2,Europe,Denmark,90.54,91.81,90.32,89.48,95.33,97.36,94.32,80.22,97.47,97.69,84.65,81.45,98.1,88.86,88.44,82.53
3,Europe,Finland,90.46,91.36,90.31,89.71,93.22,98.45,95.79,77.98,96.31,95.72,84.08,85.14,96.97,89.26,89.29,83.33
4,Europe,Switzerland,90.26,91.35,91.26,88.16,93.85,98.12,92.12,81.31,98.65,94.99,90.84,80.56,94.65,90.14,86.58,81.26
5,Europe,Iceland,89.54,91.18,90.44,87,93.26,98.97,91.59,80.88,99.47,92.68,88.28,81.31,95.1,88.13,87.46,77.32
6,Europe,Sweden,89.42,90.35,88.9,88.99,93.86,98.53,91.07,77.96,94.48,93.17,85.44,82.52,95.7,89.19,90.7,80.37
7,Europe,Netherlands,88.97,89.49,88.8,88.63,93.57,96.56,88.12,79.73,94.84,95.7,85.97,78.67,95.57,88.39,88.44,82.11
8,Europe,Germany,88.72,90.01,87.1,89.05,93.66,95.93,91.06,79.4,97.69,89.21,83.07,78.44,97.75,89.97,84.57,83.92
9,Asia,Japan,88.19,91.72,89.93,82.91,92.99,95.61,96.32,81.96,97.62,95.13,88.04,78.93,96.36,84.93,72.48,77.86
10,North America,Canada,88.17,88.6,88.88,87.02,94.02,96.19,88.86,75.32,97.88,91.21,84.74,81.69,95.21,84.34,84.56,83.97
11,Europe,Austria,88.05,90.49,88.53,85.14,95.19,95.58,91.38,79.81,97.66,94.57,85.52,76.35,92.88,85.99,81.99,79.72
12,Oceania,Australia,87.83,89.1,87.72,86.67,93.23,97.24,89.07,76.86,94.04,94.66,85.21,76.97,92.56,84.7,82.14,87.29
13,Europe,Ireland,87.69,88.99,86.68,87.41,94.75,92.96,88.33,79.89,94.93,93.24,79.98,78.55,96.7,85.45,91.11,76.36
14,Europe,Luxembourg,87.48,89.4,88.8,84.24,94.33,94.98,90.01,78.27,98.97,90.93,86.6,78.69,96.74,87.98,88.84,63.41
15,Oceania,New Zealand,87.26,86.68,88.45,86.64,93.74,94.39,86.44,72.15,98.31,96.25,83.31,75.95,96.45,85.89,84.3,79.93
